"Menu Item Name","Menu Category","QTY sold","Sales exc Tax.","Discounts","Sales inc Tax.(a)","Cost inc Tax(b)","Gross Profit(a)-(b)","Markup Percentage %(a-b)/b * 100%"
"noodlees(-)","","4","£ 5.00","£ 0.00","£ 5.00","£ 0.00","£ 5.00","0 %"
"75. Rib Eye(Standard)","BBQ (Korean) 75 - 84","3","£ 38.31","£ 4.47","£ 40.23","£ 0.00","£ 40.23","0 %"
"78. Pork Bulgogi(default)","BBQ (Korean) 75 - 84","1","£ 10.38","£ 0.00","£ 10.90","£ 0.00","£ 10.90","0 %"
"84. Lettuce, Garlic & Chilli(Standard)","BBQ (Korean) 75 - 84","2","£ 6.67","£ 0.00","£ 7.00","£ 0.00","£ 7.00","0 %"
"25. Chicken Teriyaki(Standard)","Buns 24-28","1","£ 7.14","£ 0.00","£ 7.50","£ 0.00","£ 7.50","0 %"
"26. Beef Teriyaki(Standard)","Buns 24-28","2","£ 11.68","£ 3.54","£ 12.26","£ 0.00","£ 12.26","0 %"
"29. Chicken Katsu Curry(Standard)","Donburi 29-39","7","£ 74.80","£ 4.76","£ 78.54","£ 0.00","£ 78.54","0 %"
"30. Prawn Katsu Curry(Standard)","Donburi 29-39","2","£ 26.48","£ 0.00","£ 27.80","£ 0.00","£ 27.80","0 %"
"32. Beef Curry(Standard)","Donburi 29-39","3","£ 36.86","£ 0.00","£ 38.70","£ 0.00","£ 38.70","0 %"
"33. Chicken Teriyaki(Standard)","Donburi 29-39","6","£ 68.00","£ 0.00","£ 71.40","£ 0.00","£ 71.40","0 %"
"36. Salmon Sashimi & Tobiko(Standard)","Donburi 29-39","1","£ 13.24","£ 0.00","£ 13.90","£ 0.00","£ 13.90","0 %"
"Asahi(Pint)","Draught Beer","21","£ 104.00","£ 0.00","£ 109.20","£ 0.00","£ 109.20","0 %"
"Peroni(Pint)","Draught Beer","3","£ 14.86","£ 0.00","£ 15.60","£ 0.00","£ 15.60","0 %"
"Stella(Pint)","Draught Beer","2","£ 8.00","£ 0.00","£ 8.40","£ 0.00","£ 8.40","0 %"
"63. Kimchi Ramen(Standard)","Korean Nood 62-65","3","£ 25.43","£ 0.00","£ 26.70","£ 0.00","£ 26.70","0 %"
"49. Kimchi Set(Standard)","Korean Sides 49-52","4","£ 28.57","£ 0.00","£ 30.00","£ 0.00","£ 30.00","0 %"
"50. Kimchi(Standard)","Korean Sides 49-52","1","£ 3.71","£ 0.00","£ 3.90","£ 0.00","£ 3.90","0 %"
"Hai Tai Bong Bong Grape Juice(Standard)","Korean Soft Drinks","3","£ 10.00","£ 0.00","£ 10.50","£ 0.00","£ 10.50","0 %"
"Jinro Cham Yi Sul (Green Grapes)(Standard)","Korean Soju","1","£ 8.10","£ 0.00","£ 8.50","£ 0.00","£ 8.50","0 %"
"53. Seafood Pancake(Standard)","Korean Starter 53-61","2","£ 18.86","£ 0.00","£ 19.80","£ 0.00","£ 19.80","0 %"
"54. Kimchi Pancake(Standard)","Korean Starter 53-61","1","£ 8.48","£ 0.00","£ 8.90","£ 0.00","£ 8.90","0 %"
"56. Corn Cheese(Standard)","Korean Starter 53-61","1","£ 8.48","£ 0.00","£ 8.90","£ 0.00","£ 8.90","0 %"
"57. Topokki(Standard)","Korean Starter 53-61","1","£ 9.43","£ 0.00","£ 9.90","£ 0.00","£ 9.90","0 %"
"58. Tofu Kimchi(Standard)","Korean Starter 53-61","1","£ 9.43","£ 0.00","£ 9.90","£ 0.00","£ 9.90","0 %"
"59. Mandu (5pc)(Standard)","Korean Starter 53-61","2","£ 15.05","£ 0.00","£ 15.80","£ 0.00","£ 15.80","0 %"
"61. Fried Chicken Wings (4pc)(Standard)","Korean Starter 53-61","2","£ 15.05","£ 0.00","£ 15.80","£ 0.00","£ 15.80","0 %"
"47. Yaki Soba(Chicken)","Noodles 47-48","1","£ 10.38","£ 0.00","£ 10.90","£ 0.00","£ 10.90","0 %"
"47. Yaki Soba(chicken katsu)","Noodles 47-48","2","£ 24.57","£ 0.00","£ 25.80","£ 0.00","£ 25.80","0 %"
"47. Yaki Soba(Seafood)","Noodles 47-48","1","£ 14.19","£ 0.00","£ 14.90","£ 0.00","£ 14.90","0 %"
"47. Yaki Soba(Beef)","Noodles 47-48","2","£ 20.76","£ 0.00","£ 21.80","£ 0.00","£ 21.80","0 %"
"47. Yaki Udon(Beef)","Noodles 47-48","2","£ 20.76","£ 0.00","£ 21.80","£ 0.00","£ 21.80","0 %"
"47. Yaki Udon(chicken katsu)","Noodles 47-48","1","£ 6.78","£ 5.78","£ 7.12","£ 0.00","£ 7.12","0 %"
"47. Yaki Udon(Seafood)","Noodles 47-48","2","£ 28.38","£ 0.00","£ 29.80","£ 0.00","£ 29.80","0 %"
"48. Soup Ramen(pork belly)","Noodles 47-48","2","£ 20.76","£ 0.00","£ 21.80","£ 0.00","£ 21.80","0 %"
"48. Soup Ramen(Seafood)","Noodles 47-48","1","£ 9.93","£ 4.47","£ 10.43","£ 0.00","£ 10.43","0 %"
"48. Soup Ramen(Grilled Ribeye Steak)","Noodles 47-48","1","£ 7.83","£ 6.68","£ 8.22","£ 0.00","£ 8.22","0 %"
"45. Grill meat Platter(Standard)","Platters 45-46","1","£ 34.19","£ 0.00","£ 35.90","£ 0.00","£ 35.90","0 %"
"14. Monte Verde Merlot(175ml)","Red Wine","1","£ 4.29","£ 0.00","£ 4.50","£ 0.00","£ 4.50","0 %"
"70. Dolsot Bimbimbap(Chicken)","Rice Dishes 70-74","1","£ 10.38","£ 0.00","£ 10.90","£ 0.00","£ 10.90","0 %"
"70. Dolsot Bimbimbap(Pork)","Rice Dishes 70-74","1","£ 10.38","£ 0.00","£ 10.90","£ 0.00","£ 10.90","0 %"
"71. Kimchi Fried Rice(Vegetable)","Rice Dishes 70-74","1","£ 8.48","£ 0.00","£ 8.90","£ 0.00","£ 8.90","0 %"
"74. Gimbap(Spicy Chicken)","Rice Dishes 70-74","1","£ 10.38","£ 0.00","£ 10.90","£ 0.00","£ 10.90","0 %"
"74. Gimbap(Vegetable)","Rice Dishes 70-74","1","£ 9.43","£ 0.00","£ 9.90","£ 0.00","£ 9.90","0 %"
"16. Chilli Beef(Standard)","Robata Grill 15-23","2","£ 16.95","£ 0.00","£ 17.80","£ 0.00","£ 17.80","0 %"
"18. Pork Yakitori(Standard)","Robata Grill 15-23","1","£ 7.52","£ 0.00","£ 7.90","£ 0.00","£ 7.90","0 %"
"20. Teriyaki Salmon(Standard)","Robata Grill 15-23","1","£ 9.05","£ 0.00","£ 9.50","£ 0.00","£ 9.50","0 %"
"21. Grilled Squid(Standard)","Robata Grill 15-23","1","£ 7.14","£ 0.00","£ 7.50","£ 0.00","£ 7.50","0 %"
"13. Whispering Hills(175ml)","Rose Wine","1","£ 4.76","£ 0.00","£ 5.00","£ 0.00","£ 5.00","0 %"
"Chilli Fries(Standard)","Sides","1","£ 3.33","£ 0.00","£ 3.50","£ 0.00","£ 3.50","0 %"
"Edamame(Standard)","Sides","1","£ 3.33","£ 0.00","£ 3.50","£ 0.00","£ 3.50","0 %"
"Steamed Rice(Standard)","Sides","3","£ 7.71","£ 0.90","£ 8.10","£ 0.00","£ 8.10","0 %"
"Coke(Standard)","Soft Drinks","4","£ 10.29","£ 0.00","£ 10.80","£ 0.00","£ 10.80","0 %"
"Diet Coke(Standard)","Soft Drinks","10","£ 25.71","£ 0.00","£ 27.00","£ 0.00","£ 27.00","0 %"
"Fever Tree Slimline Tonic(Standard)","Soft Drinks","5","£ 12.86","£ 0.00","£ 13.50","£ 0.00","£ 13.50","0 %"
"J2O(Standard)","Soft Drinks","5","£ 11.43","£ 0.00","£ 12.00","£ 0.00","£ 12.00","0 %"
"Lemonade(Standard)","Soft Drinks","2","£ 5.14","£ 0.00","£ 5.40","£ 0.00","£ 5.40","0 %"
"Pineapple Juice(Standard)","Soft Drinks","3","£ 6.86","£ 0.00","£ 7.20","£ 0.00","£ 7.20","0 %"
"Soda Water(Standard)","Soft Drinks","1","£ 1.29","£ 0.00","£ 1.35","£ 0.00","£ 1.35","0 %"
"Still / Sparkling Water(330ml)","Soft Drinks","3","£ 5.14","£ 0.00","£ 5.40","£ 0.00","£ 5.40","0 %"
"Kagugiri(Standard)","RESTAURANT SPECIALS","5","£ 33.33","£ 0.00","£ 35.00","£ 0.00","£ 35.00","0 %"
"RESTAURANT Soft Shell Crab Rolls(Standard)","RESTAURANT SPECIALS","1","£ 7.14","£ 0.00","£ 7.50","£ 0.00","£ 7.50","0 %"
"66. Yuk Gae Jang(Standard)","Soup 66-69","1","£ 10.38","£ 0.00","£ 10.90","£ 0.00","£ 10.90","0 %"
"Sashimi (4pc)(Salmon)","Sushi","1","£ 4.76","£ 0.00","£ 5.00","£ 0.00","£ 5.00","0 %"
"Temaki (1pc)(Salmon)","Sushi","1","£ 3.33","£ 0.00","£ 3.50","£ 0.00","£ 3.50","0 %"
"California(Standard)","Sushi Rolls (4pc)","4","£ 26.67","£ 0.00","£ 28.00","£ 0.00","£ 28.00","0 %"
"Dynamite(Standard)","Sushi Rolls (4pc)","1","£ 7.14","£ 0.00","£ 7.50","£ 0.00","£ 7.50","0 %"
"Kagugiri (Sushi Rolls 4pc)(Standard)","Sushi Rolls (4pc)","1","£ 6.67","£ 0.00","£ 7.00","£ 0.00","£ 7.00","0 %"
"Prawn Tempura(Standard)","Sushi Rolls (4pc)","1","£ 6.67","£ 0.00","£ 7.00","£ 0.00","£ 7.00","0 %"
"Salmon Avocado(Standard)","Sushi Rolls (4pc)","1","£ 7.14","£ 0.00","£ 7.50","£ 0.00","£ 7.50","0 %"
"Spicy Chicken Katsu(Standard)","Sushi Rolls (4pc)","4","£ 22.86","£ 0.00","£ 24.00","£ 0.00","£ 24.00","0 %"
"01. Spicy Squid(Standard)","Traditional 1-14","1","£ 7.52","£ 0.00","£ 7.90","£ 0.00","£ 7.90","0 %"
"02. Prawn Tempura(Standard)","Traditional 1-14","4","£ 28.40","£ 5.78","£ 29.82","£ 0.00","£ 29.82","0 %"
"03. Vegetable Tempura(Standard)","Traditional 1-14","1","£ 6.57","£ 0.00","£ 6.90","£ 0.00","£ 6.90","0 %"
"08. Chicken karaagi(Standard)","Traditional 1-14","2","£ 15.05","£ 0.00","£ 15.80","£ 0.00","£ 15.80","0 %"
"13. Grilled Unagi Eel(Standard)","Traditional 1-14","1","£ 8.76","£ 2.30","£ 9.20","£ 0.00","£ 9.20","0 %"
"6. salmon tartar(Standard)","Traditional 1-14","2","£ 15.05","£ 0.00","£ 15.80","£ 0.00","£ 15.80","0 %"
"06 Monte Verde Sauvignon Blanc(125ml)","White Wine","1","£ 3.33","£ 0.00","£ 3.50","£ 0.00","£ 3.50","0 %"
"08 Parini Pinot Grigio(125ml)","White Wine","2","£ 7.62","£ 0.00","£ 8.00","£ 0.00","£ 8.00","0 %"
"08 Parini Pinot Grigio(175ml)","White Wine","1","£ 4.76","£ 0.00","£ 5.00","£ 0.00","£ 5.00","0 %"
"08 Parini Pinot Grigio(250ml)","White Wine","1","£ 6.19","£ 0.00","£ 6.50","£ 0.00","£ 6.50","0 %"
"08 Parini Pinot Grigio(Bottle)","White Wine","1","£ 18.57","£ 0.00","£ 19.50","£ 0.00","£ 19.50","0 %"
"09 Short Mile Bay Chardonnay(250ml)","White Wine","1","£ 5.95","£ 0.00","£ 6.25","£ 0.00","£ 6.25","0 %"
"Dash Cordial(-)","Soft Drinks","1","£ 0.76","£ 0.00","£ 0.80","£ 0.00","£ 0.80","0 %"
"Green Tea(-)","Tea / Coffee","1","£ 0.93","£ 0.42","£ 0.98","£ 0.00","£ 0.98","0 %"
"Mocktail(-)","Cocktails","4","£ 15.24","£ 0.00","£ 16.00","£ 0.00","£ 16.00","0 %"
"Bombay(Double)","Spirits","4","£ 21.71","£ 0.00","£ 22.80","£ 0.00","£ 22.80","0 %"
