"Menu Item Name","Menu Category","QTY sold","Sales exc Tax.","Discounts","Sales inc Tax.(a)","Cost inc Tax(b)","Gross Profit(a)-(b)","Markup Percentage %(a-b)/b * 100%"
"75. Rib Eye(Standard)","BBQ (Korean) 75 - 84","2","£ 28.48","£ 0.00","£ 29.90","£ 0.00","£ 29.90","0 %"
"77. Bulgogi(Standard)","BBQ (Korean) 75 - 84","3","£ 31.29","£ 0.00","£ 32.85","£ 0.00","£ 32.85","0 %"
"78. Pork Bulgogi(default)","BBQ (Korean) 75 - 84","1","£ 9.48","£ 0.00","£ 9.95","£ 0.00","£ 9.95","0 %"
"80. Pork Belly(Standard)","BBQ (Korean) 75 - 84","1","£ 9.49","£ 0.00","£ 9.96","£ 0.00","£ 9.96","0 %"
"81. King Prawns (5pc)(Standard)","BBQ (Korean) 75 - 84","1","£ 13.29","£ 0.00","£ 13.95","£ 0.00","£ 13.95","0 %"
"83. Chargrilled Squid(Standard)","BBQ (Korean) 75 - 84","1","£ 12.33","£ 0.00","£ 12.95","£ 0.00","£ 12.95","0 %"
"84. Lettuce, Garlic & Chilli(Standard)","BBQ (Korean) 75 - 84","4","£ 11.43","£ 0.00","£ 12.00","£ 0.00","£ 12.00","0 %"
"Becks Blue(Standard)","Bottled Beer & Cider","2","£ 5.33","£ 0.00","£ 5.60","£ 0.00","£ 5.60","0 %"
"Corona(Standard)","Bottled Beer & Cider","1","£ 3.62","£ 0.00","£ 3.80","£ 0.00","£ 3.80","0 %"
"Koppaberg(Standard)","Bottled Beer & Cider","6","£ 20.99","£ 0.76","£ 22.04","£ 0.00","£ 22.04","0 %"
"Tiger(Standard)","Bottled Beer & Cider","3","£ 12.86","£ 0.00","£ 13.50","£ 0.00","£ 13.50","0 %"
"25. Chicken Teriyaki(Standard)","Buns 25-26","5","£ 32.67","£ 0.70","£ 34.30","£ 0.00","£ 34.30","0 %"
"26. Beef Teriyaki(Standard)","Buns 25-26","6","£ 42.86","£ 0.00","£ 45.00","£ 0.00","£ 45.00","0 %"
"01 Sette Bello Prosecco(20CL)","Champagne","1","£ 4.76","£ 0.00","£ 5.00","£ 0.00","£ 5.00","0 %"
