"Menu Item Name","Menu Category","QTY sold","Sales exc Tax.","Discounts","Sales inc Tax.(a)","Cost inc Tax(b)","Gross Profit(a)-(b)","Markup Percentage %(a-b)/b * 100%"
"Cornish Orchard Cider(Half)","Draught Beer","56","£ 133.10","£ 0.25","£ 139.75","£ 0.00","£ 139.75","0 %"
"Cornish Orchard Cider(Pint)","Draught Beer","201","£ 801.01","£ 3.14","£ 841.06","£ 0.00","£ 841.06","0 %"
"Peroni(Half)","Draught Beer","217","£ 575.77","£ 3.04","£ 604.56","£ 0.00","£ 604.56","0 %"
"Peroni(Pint)","Draught Beer","1571","£ 7751.34","£ 30.29","£ 8138.91","£ 0.00","£ 8138.91","0 %"
"Stella(Half)","Draught Beer","58","£ 136.90","£ 1.25","£ 143.75","£ 0.00","£ 143.75","0 %"
"Stella(Pint)","Draught Beer","846","£ 3369.96","£ 14.74","£ 3538.46","£ 0.00","£ 3538.46","0 %"
"62. Ja Jang Myun(Standard)","Korean Nood 62-64","307","£ 2839.17","£ 58.17","£ 2981.13","£ 0.00","£ 2981.13","0 %"
"63. Kimchi Ramen(Standard)","Korean Nood 62-64","284","£ 2338.94","£ 57.51","£ 2455.89","£ 0.00","£ 2455.89","0 %"
"Korean Set Menu(Standard)","Korean Set Menu","94","£ 2579.37","£ 8.26","£ 2708.34","£ 0.00","£ 2708.34","0 %"
"49. Kimchi Set(Standard)","Korean Sides 49-52","167","£ 1089.97","£ 7.83","£ 1144.47","£ 0.00","£ 1144.47","0 %"
"50. Kimchi(Standard)","Korean Sides 49-52","461","£ 1500.27","£ 38.22","£ 1575.28","£ 0.00","£ 1575.28","0 %"
"51. Cucumber Kimchi(Standard)","Korean Sides 49-52","76","£ 178.00","£ 3.10","£ 186.90","£ 0.00","£ 186.90","0 %"
"52. Mooli Kimchi(Standard)","Korean Sides 49-52","34","£ 80.48","£ 0.50","£ 84.50","£ 0.00","£ 84.50","0 %"
