"Menu Item Name","Menu Category","QTY sold","Sales exc Tax.","Discounts","Sales inc Tax.(a)","Cost inc Tax(b)","Gross Profit(a)-(b)","Markup Percentage %(a-b)/b * 100%"
"Chilli Fries(Standard)","Sides Extras","364","£ 1207.12","£ 6.52","£ 1267.48","£ 0.00","£ 1267.48","0 %"
"Edamame(Standard)","Sides Extras","92","£ 306.47","£ 0.21","£ 321.79","£ 0.00","£ 321.79","0 %"
"Miso Soup(Standard)","Sides Extras","75","£ 248.06","£ 2.04","£ 260.46","£ 0.00","£ 260.46","0 %"
"Steamed Rice(Standard)","Sides Extras","120","£ 338.34","£ 4.74","£ 355.26","£ 0.00","£ 355.26","0 %"
"Juice(Standard)","Soft Drinks","8","£ 18.29","£ 0.00","£ 19.20","£ 0.00","£ 19.20","0 %"
"Coke(Standard)","Soft Drinks","475","£ 1221.17","£ 0.27","£ 1282.23","£ 0.00","£ 1282.23","0 %"
"Diet Coke(Standard)","Soft Drinks","422","£ 1083.13","£ 2.11","£ 1137.29","£ 0.00","£ 1137.29","0 %"
"Fanta(Standard)","Soft Drinks","81","£ 208.29","£ 0.00","£ 218.70","£ 0.00","£ 218.70","0 %"
"Fever Tree Slimline Tonic(Standard)","Soft Drinks","12","£ 30.86","£ 0.00","£ 32.40","£ 0.00","£ 32.40","0 %"
"Fever Tree Tonic(Standard)","Soft Drinks","20","£ 51.43","£ 0.00","£ 54.00","£ 0.00","£ 54.00","0 %"
"J2O(Standard)","Soft Drinks","66","£ 150.86","£ 0.00","£ 158.40","£ 0.00","£ 158.40","0 %"
"Lemonade(Standard)","Soft Drinks","154","£ 396.00","£ 0.00","£ 415.80","£ 0.00","£ 415.80","0 %"
"Soda Water(Standard)","Soft Drinks","67","£ 86.14","£ 0.00","£ 90.45","£ 0.00","£ 90.45","0 %"
"Still / Sparkling Water(330ml)","Soft Drinks","63","£ 108.00","£ 0.00","£ 113.40","£ 0.00","£ 113.40","0 %"
"Still / Sparkling Water(750ml)","Soft Drinks","39","£ 141.14","£ 0.00","£ 148.20","£ 0.00","£ 148.20","0 %"
"48.Yuk Gae Jang(Standard)","Korean Dishes 41-51","62","£ 743.77","£ 18.84","£ 780.96","£ 0.00","£ 780.96","0 %"
"49.Kimchi Stew(Standard)","Korean Dishes 41-51","58","£ 652.80","£ 4.76","£ 685.44","£ 0.00","£ 685.44","0 %"
"50.Tofu Stew(Standard)","Korean Dishes 41-51","42","£ 508.63","£ 7.74","£ 534.06","£ 0.00","£ 534.06","0 %"
"51. Kkori Gom Tang(Standard)","Korean Dishes 41-51","28","£ 340.31","£ 3.87","£ 357.33","£ 0.00","£ 357.33","0 %"
"Gordans(Single)","Spirits & Shots","8","£ 19.05","£ 0.00","£ 20.00","£ 0.00","£ 20.00","0 %"
"Rum(Single)","Spirits & Shots","2","£ 4.76","£ 0.00","£ 5.00","£ 0.00","£ 5.00","0 %"
"Smirnoff(Single)","Spirits & Shots","8","£ 19.05","£ 0.00","£ 20.00","£ 0.00","£ 20.00","0 %"
"Tequila(Standard)","Spirits & Shots","4","£ 10.67","£ 0.00","£ 11.20","£ 0.00","£ 11.20","0 %"
"Whiskey(Single)","Spirits & Shots","3","£ 7.14","£ 0.00","£ 7.50","£ 0.00","£ 7.50","0 %"
"Maki (6pc)(Bell Pepper)","Sushi","10","£ 37.33","£ 0.80","£ 39.20","£ 0.00","£ 39.20","0 %"
"Maki (6pc)(Chicken Katsu)","Sushi","57","£ 242.14","£ 2.25","£ 254.25","£ 0.00","£ 254.25","0 %"
"Maki (6pc)(Avocado)","Sushi","47","£ 178.29","£ 0.80","£ 187.20","£ 0.00","£ 187.20","0 %"
"Maki (6pc)(Cucumber)","Sushi","43","£ 161.56","£ 2.36","£ 169.64","£ 0.00","£ 169.64","0 %"
"Nigiri (3pc)(Inari)","Sushi","6","£ 25.71","£ 0.00","£ 27.00","£ 0.00","£ 27.00","0 %"
"Nigiri (3pc)(Avocado)","Sushi","7","£ 30.00","£ 0.00","£ 31.50","£ 0.00","£ 31.50","0 %"
"Nigiri (3pc)(Salmon)","Sushi","83","£ 430.05","£ 4.95","£ 451.55","£ 0.00","£ 451.55","0 %"
"Nigiri (3pc)(Tamago)","Sushi","6","£ 24.86","£ 0.90","£ 26.10","£ 0.00","£ 26.10","0 %"
"Nigiri (3pc)(Prawn)","Sushi","18","£ 75.86","£ 1.35","£ 79.65","£ 0.00","£ 79.65","0 %"
"Salmon Sashimi (4pc)(Salmon)","Sushi","55","£ 333.97","£ 6.83","£ 350.67","£ 0.00","£ 350.67","0 %"
"Temaki (1pc)(Salmon)","Sushi","43","£ 150.29","£ 14.20","£ 157.80","£ 0.00","£ 157.80","0 %"
"Temaki (1pc)(Chicken Katsu)","Sushi","11","£ 40.00","£ 2.00","£ 42.00","£ 0.00","£ 42.00","0 %"
"Temaki (1pc)(Prawn Tempura)","Sushi","16","£ 60.95","£ 0.00","£ 64.00","£ 0.00","£ 64.00","0 %"
"Temaki (1pc)(Avocado)","Sushi","11","£ 37.33","£ 4.80","£ 39.20","£ 0.00","£ 39.20","0 %"
"Nigiri Platter (12pc)(Standard)","Sushi Platters","20","£ 406.71","£ 10.95","£ 427.05","£ 0.00","£ 427.05","0 %"
"Sushi Platter (30pc)(Standard)","Sushi Platters","27","£ 1073.44","£ 4.19","£ 1127.11","£ 0.00","£ 1127.11","0 %"
"Soft Shell Crab 8pc(Standard)","Sushi Rolls 4pc/8pc","20","£ 287.71","£ 15.90","£ 302.10","£ 0.00","£ 302.10","0 %"
"Cappuccino(Standard)","Tea / Coffee","17","£ 42.10","£ 0.00","£ 44.20","£ 0.00","£ 44.20","0 %"
"Espresso(Standard)","Tea / Coffee","10","£ 22.86","£ 0.00","£ 24.00","£ 0.00","£ 24.00","0 %"
"Latte(Standard)","Tea / Coffee","24","£ 63.20","£ 0.84","£ 66.36","£ 0.00","£ 66.36","0 %"
"Tea(Standard)","Tea / Coffee","2","£ 2.67","£ 0.00","£ 2.80","£ 0.00","£ 2.80","0 %"
"01. Spicy Squid(Standard)","Japanese side 1-13","167","£ 1401.10","£ 15.14","£ 1471.16","£ 0.00","£ 1471.16","0 %"
"02. Prawn Tempura(Standard)","Japanese side 1-13","169","£ 1579.52","£ 14.60","£ 1658.50","£ 0.00","£ 1658.50","0 %"
"03. Vegetable Tempura(Standard)","Japanese side 1-13","66","£ 501.09","£ -4.74","£ 526.14","£ 0.00","£ 526.14","0 %"
"04. Soft Shell Crab Tempura(Standard)","Japanese side 1-13","91","£ 855.65","£ 2.47","£ 898.43","£ 0.00","£ 898.43","0 %"
"05. Chicken Harumaki(Standard)","Japanese side 1-13","119","£ 893.08","£ 2.37","£ 937.73","£ 0.00","£ 937.73","0 %"
"08. Chicken karaagi(Standard)","Japanese side 1-13","134","£ 1127.76","£ 8.45","£ 1184.15","£ 0.00","£ 1184.15","0 %"
"10. Agedashi Tofu(Standard)","Japanese side 1-13","26","£ 190.35","£ 5.53","£ 199.87","£ 0.00","£ 199.87","0 %"
"11. Takoyaki(Standard)","Japanese side 1-13","97","£ 812.72","£ 9.94","£ 853.36","£ 0.00","£ 853.36","0 %"
"13. Grilled Unagi Eel side(Standard)","Japanese side 1-13","16","£ 190.48","£ 0.00","£ 200.00","£ 0.00","£ 200.00","0 %"
"6. salmon tartar(Standard)","Japanese side 1-13","47","£ 396.25","£ 2.24","£ 416.06","£ 0.00","£ 416.06","0 %"
"5. Sauvignon Blanc Brisa(125ml)","White Wine","7","£ 30.00","£ 0.00","£ 31.50","£ 0.00","£ 31.50","0 %"
"5. Sauvignon Blanc Brisa(175ml)","White Wine","25","£ 130.95","£ 0.00","£ 137.50","£ 0.00","£ 137.50","0 %"
"5. Sauvignon Blanc Brisa(250ml)","White Wine","57","£ 352.86","£ 0.00","£ 370.50","£ 0.00","£ 370.50","0 %"
"5. Sauvignon Blanc Brisa(Bottle)","White Wine","25","£ 440.48","£ 0.00","£ 462.50","£ 0.00","£ 462.50","0 %"
"6. Chenin Blanc Slow False Bay Coastal Region(125ml)","White Wine","1","£ 4.52","£ 0.00","£ 4.75","£ 0.00","£ 4.75","0 %"
"6. Chenin Blanc Slow False Bay Coastal Region(175ml)","White Wine","4","£ 21.90","£ 0.00","£ 23.00","£ 0.00","£ 23.00","0 %"
"6. Chenin Blanc Slow False Bay Coastal Region(250ml)","White Wine","7","£ 46.67","£ 0.00","£ 49.00","£ 0.00","£ 49.00","0 %"
"6. Chenin Blanc Slow False Bay Coastal Region(Bottle)","White Wine","5","£ 88.10","£ 0.00","£ 92.50","£ 0.00","£ 92.50","0 %"
"7. Pinot Grigio San Vigilio Provincia di Pavia IGT(125ml)","White Wine","4","£ 19.05","£ 0.00","£ 20.00","£ 0.00","£ 20.00","0 %"
"7. Pinot Grigio San Vigilio Provincia di Pavia IGT(175ml)","White Wine","23","£ 131.43","£ 0.00","£ 138.00","£ 0.00","£ 138.00","0 %"
"7. Pinot Grigio San Vigilio Provincia di Pavia IGT(250ml)","White Wine","28","£ 186.67","£ 0.00","£ 196.00","£ 0.00","£ 196.00","0 %"
"7. Pinot Grigio San Vigilio Provincia di Pavia IGT(Bottle)","White Wine","24","£ 468.57","£ 0.00","£ 492.00","£ 0.00","£ 492.00","0 %"
"8. Chardonnay Woolloomooloo(125ml)","White Wine","3","£ 14.14","£ 0.00","£ 14.85","£ 0.00","£ 14.85","0 %"
"8. Chardonnay Woolloomooloo(175ml)","White Wine","1","£ 5.57","£ 0.00","£ 5.85","£ 0.00","£ 5.85","0 %"
"8. Chardonnay Woolloomooloo(250ml)","White Wine","3","£ 20.71","£ 0.00","£ 21.75","£ 0.00","£ 21.75","0 %"
"8. Chardonnay Woolloomooloo(Bottle)","White Wine","3","£ 55.71","£ 0.00","£ 58.50","£ 0.00","£ 58.50","0 %"
"9. Gewurztraminer A.A.C. Cave de Beblenheim(125ml)","White Wine","1","£ 5.00","£ 0.00","£ 5.25","£ 0.00","£ 5.25","0 %"
"9. Gewurztraminer A.A.C. Cave de Beblenheim(175ml)","White Wine","1","£ 6.43","£ 0.00","£ 6.75","£ 0.00","£ 6.75","0 %"
"9. Gewurztraminer A.A.C. Cave de Beblenheim(250ml)","White Wine","4","£ 32.38","£ 0.00","£ 34.00","£ 0.00","£ 34.00","0 %"
"9. Gewurztraminer A.A.C. Cave de Beblenheim(Bottle)","White Wine","4","£ 80.00","£ 0.00","£ 84.00","£ 0.00","£ 84.00","0 %"
"Sake(default)","White Wine","25","£ 178.57","£ 0.00","£ 187.50","£ 0.00","£ 187.50","0 %"
"Dash Cordial(-)","Soft Drinks","79","£ 60.19","£ 0.00","£ 63.20","£ 0.00","£ 63.20","0 %"
"Americano(-)","Tea / Coffee","25","£ 61.90","£ -2.50","£ 65.00","£ 0.00","£ 65.00","0 %"
"Jack Daniels(Single)","Spirits & Shots","3","£ 10.00","£ 0.00","£ 10.50","£ 0.00","£ 10.50","0 %"
"Mocktail(-)","Mocktails","9","£ 42.14","£ 0.75","£ 44.25","£ 0.00","£ 44.25","0 %"
"Gordans Pink Gin(Single)","Spirits & Shots","3","£ 7.71","£ 0.00","£ 8.10","£ 0.00","£ 8.10","0 %"
"Amaretto(Double)","Spirits & Shots","1","£ 4.67","£ 0.00","£ 4.90","£ 0.00","£ 4.90","0 %"
"Baileys(Double)","Spirits & Shots","2","£ 9.14","£ 0.00","£ 9.60","£ 0.00","£ 9.60","0 %"
"Sake(White wine)","White Wine","10","£ 71.43","£ 0.00","£ 75.00","£ 0.00","£ 75.00","0 %"
"Gordans(Double)","Spirits & Shots","3","£ 12.86","£ 0.00","£ 13.50","£ 0.00","£ 13.50","0 %"
"Jack Daniels(Double)","Spirits & Shots","1","£ 5.24","£ 0.00","£ 5.50","£ 0.00","£ 5.50","0 %"
"Rum(Double)","Spirits & Shots","3","£ 12.86","£ 0.00","£ 13.50","£ 0.00","£ 13.50","0 %"
"Smirnoff(Double)","Spirits & Shots","14","£ 60.00","£ 0.00","£ 63.00","£ 0.00","£ 63.00","0 %"
"Whiskey(Double)","Spirits & Shots","1","£ 4.29","£ 0.00","£ 4.50","£ 0.00","£ 4.50","0 %"
"Tofu Katsu small plate(-)","Vegan","11","£ 68.10","£ 0.00","£ 71.50","£ 0.00","£ 71.50","0 %"
"Miso aubergine small plate(-)","Vegan","8","£ 48.00","£ 0.00","£ 48.00","£ 0.00","£ 48.00","0 %"
"Pumpkin katsu small plate(-)","Vegan","8","£ 50.70","£ 1.30","£ 50.70","£ 0.00","£ 50.70","0 %"
"Tofu curry(-)","Vegan","23","£ 218.50","£ 0.00","£ 218.50","£ 0.00","£ 218.50","0 %"
"Veg Okonomiyaki(-)","Vegan","14","£ 98.00","£ 0.00","£ 98.00","£ 0.00","£ 98.00","0 %"
"Pumpkin curry(-)","Vegan","19","£ 180.50","£ 0.00","£ 180.50","£ 0.00","£ 180.50","0 %"
"Aubergine donburi(-)","Vegan","12","£ 103.50","£ 4.50","£ 103.50","£ 0.00","£ 103.50","0 %"
"31.Beef Teriyaki rice(-)","Japan rice dis 25-32","173","£ 2440.06","£ 15.64","£ 2562.06","£ 0.00","£ 2562.06","0 %"
"32.Chili prawn firecracker rice(-)","Japan rice dis 25-32","85","£ 1343.95","£ 25.35","£ 1411.15","£ 0.00","£ 1411.15","0 %"
"46.Spicy Lamb Noodle(-)","Korean Dishes 41-51","97","£ 1552.59","£ 9.08","£ 1630.22","£ 0.00","£ 1630.22","0 %"
"Nigiri (3pc)(Seared salmon)","Sushi","7","£ 34.05","£ 2.75","£ 35.75","£ 0.00","£ 35.75","0 %"
"Nigiri (3pc)(Eel)","Sushi","12","£ 71.19","£ 3.25","£ 74.75","£ 0.00","£ 74.75","0 %"
"Nigiri (3pc)(prawn tempura)","Sushi","19","£ 81.43","£ 0.00","£ 85.50","£ 0.00","£ 85.50","0 %"
"Veg Sushi Platter 20pc(-)","Sushi Platters","5","£ 119.05","£ 0.00","£ 125.00","£ 0.00","£ 125.00","0 %"
